bus_no,stop_sequence,stop_name,lat,lon
01,1,Cbt,15.3444674193908,75.14520201344315
01,2,Chandrakala Talkies,15.349279164999999,75.145650835
01,3,Railway Station-H,15.352256816846449,75.1453905041761
01,4,Corporation-H,15.3514155,75.14188899999999
01,5,Hubli Obs (Inside),15.3506932154367,75.13637812934971
01,6,Glass House,15.352517,75.133526
01,7,Hosur,15.354019,75.130184
01,8,Bannigida,15.36244125,75.132926
01,9,Quarters,15.351182,75.1220395
01,10,R.W.H,15.350926000000001,75.1188365
01,11,New Bus Stand-H,15.3505045,75.116761
01,12,1St Gate,15.3506565,75.11479
01,13,2Nd Gate,15.350479,75.111707
01,14,Akshay Park,15.350715666666666,75.10896733333333
01,15,Ravi Nagar,15.353662,75.107607
01,16,Ravi Nagar 2Nd Stop,15.3549291203027,75.1068547202377
01,17,Ravi Nagar 3Rd Stop,15.356113,75.106258
01,18,Lakshmi Nagar,15.3583525,75.10701
01,19,Lakshmi Nagar Cross,15.3598295,75.107128
01,20,Akshay Colony,15.360295666666666,75.10990166666666
01,21,Rajeev Nagar Cross,15.363613,75.109382
01,22,Mruthyunjaya Extension,15.36601,75.108345
01,23,Rajeev Nagar,15.365726,75.106239
100,1,Betdur,15.2264975,75.1877105
100,2,Betdur 1St Stop,15.2278815,75.188323
100,3,Betdur Govt School,15.229096,75.1876595
100,4,Water Tank B,15.23636649537275,75.18323418644201
100,5,Cbm Oil Mill,15.2434815,75.1761545
100,6,Basaveshwar Nagar,15.253144,75.171026
100,7,Sharevada,15.258347,75.1694485
100,8,Sharevada Cross,15.259578999999999,75.16957149999999
100,9,Noolvi Cross,15.268582714285714,75.15226557142857
100,10,Noolvi Arogya Kendra,15.272106,75.16071199999999
100,11,Adhurgunchi College,15.277642,75.156795
100,12,Adhurgunchi Plot,15.2806865,75.1567975
100,13,Adhurgunchi,15.281863999999999,75.154369
100,14,Adhurgunchi Doddappana Gudi,15.28525,75.15392349999999
100,15,Kotgunsi,15.291972999999999,75.15141750000001
100,16,Kundagol Cross,15.295943,75.1464805
100,17,Gabbur Sh,15.317306,75.1440665
100,18,Bidnal Cross Sh,15.329774,75.14363900000001
100,19,Bankapur Chowk,15.335373115,75.14170128500001
100,20,New English School Sh,15.3386415,75.1375455
100,21,Murusavira Matta Cross Sh,15.348655,75.13802
100,22,Obs Sh,15.350251965647585,75.1356732192144
100,23,Hosur Terminal,15.3570921772309,75.12880797876
100_2,1,Hosur Terminal,15.3570921772309,75.12880797876
100_2,2,Obs Sh,15.350251965647585,75.1356732192144
100_2,3,Murusavira Matta Cross Sh,15.348655,75.13802
100_2,4,New English School Sh,15.3386415,75.1375455
100_2,5,Bankapur Chouk Sh,15.335399500000001,75.1417405
100_2,6,Bidnal Cross Sh,15.329774,75.14363900000001
100_2,7,Gabbur Sh,15.317306,75.1440665
100_2,8,Kundagol Cross,15.295943,75.1464805
100_2,9,Kotgunsi,15.291972999999999,75.15141750000001
100_2,10,Adhurgunchi Doddappana Gudi,15.28525,75.15392349999999
100_2,11,Adhurgunchi,15.281863999999999,75.154369
100_2,12,Adhurgunchi Plot,15.2806865,75.1567975
100_2,13,Adhurgunchi College,15.277642,75.156795
100_2,14,Noolvi Arogya Kendra,15.272106,75.16071199999999
100_2,15,Noolvi Cross,15.268582714285714,75.15226557142857
100_2,16,Sharevada Cross,15.259578999999999,75.16957149999999
100_2,17,Sharevada,15.258347,75.1694485
100_2,18,Basaveshwar Nagar,15.253144,75.171026
100_2,19,Cbm Oil Mill,15.2434815,75.1761545
100_2,20,Water Tank B,15.23636649537275,75.18323418644201
100_2,21,Betdur Govt School,15.229096,75.1876595
100_2,22,Betdur 1St Stop,15.2278815,75.188323
100_2,23,Betdur,15.2264975,75.1877105
1001,1,Cbt-D,15.4606685,75.01141700000001
1001,2,Jubilee Circle,15.45894575,75.00781925
1001,3,Lic,15.456875499999999,75.00295650000001
1001,4,Kcd,15.45534,74.998474
1001,5,Nayadu Girini,15.453372,74.995731
1001,6,Saptapura,15.451581000000001,74.993536
1001,7,Jaya Nagar Cross,15.449917,74.9906925
1001,8,Sarwamangala Hospital,15.44922,74.98821075000001
1001,9,Parisara Bhavan,15.447995500000001,74.98509200000001
1001,10,Srinagar,15.447431,74.9830265
1001,11,Womens Hostel,15.445126,74.9829
1001,12,Girls Hostel,15.443829,74.984877
1001,13,Sports Ground,15.440206499999999,74.98680949999999
1001,14,Pavate Nagar,15.438239,74.9863935
1001,15,New Boys Hostel,15.433355,74.976928
1001_2,1,New Boys Hostel,15.433355,74.976928
1001_2,2,Pavate Nagar,15.438239,74.9863935
1001_2,3,Sports Ground,15.440206499999999,74.98680949999999
1001_2,4,Working Womens Hostel,15.44398,74.984695
1001_2,5,Womens Hostel,15.445126,74.9829
1001_2,6,Srinagar,15.447431,74.9830265
1001_2,7,Parisara Bhavan,15.447995500000001,74.98509200000001
1001_2,8,Sarwamangala Hospital,15.44922,74.98821075000001
1001_2,9,Jaya Nagar Cross,15.449917,74.9906925
1001_2,10,Saptapura,15.451581000000001,74.993536
1001_2,11,K C D,15.455365,74.9983735
1001_2,12,Lic,15.456875499999999,75.00295650000001
1001_2,13,Jubilee Circle,15.45894575,75.00781925
1001_2,14,Anjuman Circle,15.4603407729333,75.0099570147152
1001_2,15,Cbt-D,15.4606685,75.01141700000001
1002,1,Cbt-D,15.4606685,75.01141700000001
1002,2,Jubilee Circle,15.45894575,75.00781925
1002,3,Lic,15.456875499999999,75.00295650000001
1002,4,Kcd,15.45534,74.998474
1002,5,Nayadu Girini,15.453372,74.995731
1002,6,Saptapura,15.451581000000001,74.993536
1002,7,Vivekananda Circle,15.4498925,74.99509499999999
1002,8,Michigan Compound,15.448450000000001,74.995294
1002,9,Galagali Hospital,15.447099999999999,74.99203299999999
1002,10,Bakery Stop,15.4450205,74.9928555
1002,11,Manjunatha Colony,15.443936,74.9914835
1002,12,Shivagiri,15.443571500000001,74.988106
1002_2,1,Shivagiri,15.443571500000001,74.988106
1002_2,2,Manjunatha Colony,15.443936,74.9914835
1002_2,3,Bakery Stop,15.4450205,74.9928555
1002_2,4,Galagali Hospital,15.447099999999999,74.99203299999999
1002_2,5,Masjid,15.462099666666667,75.00293233333333
1002_2,6,Jaya Nagar D,15.447105,74.993646
