route_id,route_long_name,stop_name
01,Rajeev Nagar ⇆ CBT,"Cbt, Chandrakala Talkies, Railway Station-H, Corporation-H, Hubli Obs (Inside), Glass House, Hosur, Bannigida, Quarters, R.W.H, New Bus Stand-H, 1St Gate, 2Nd Gate, Akshay Park, Ravi Nagar, Ravi Nagar 2Nd Stop, Ravi Nagar 3Rd Stop, Lakshmi Nagar, Lakshmi Nagar Cross, Akshay Colony, Rajeev Nagar Cross, Mruthyunjaya Extension, Rajeev Nagar"
100,Betdur ⇆ Hosur Terminal,"Betdur, Betdur 1St Stop, Betdur Govt School, Water Tank B, Cbm Oil Mill, Basaveshwar Nagar, Sharevada, Sharevada Cross, Noolvi Cross, Noolvi Arogya Kendra, Adhurgunchi College, Adhurgunchi Plot, Adhurgunchi, Adhurgunchi Doddappana Gudi, Kotgunsi, Kundagol Cross, Gabbur Sh, Bidnal Cross Sh, Bankapur Chowk, New English School Sh, Murusavira Matta Cross Sh, Obs Sh, Hosur Terminal, Bankapur Chouk Sh"
1001,New Boys Hostel ⇆ CBT-D,"Cbt-D, Jubilee Circle, Lic, Kcd, Nayadu Girini, Saptapura, Jaya Nagar Cross, Sarwamangala Hospital, Parisara Bhavan, Srinagar, Womens Hostel, Girls Hostel, Sports Ground, Pavate Nagar, New Boys Hostel, Working Womens Hostel, K C D, Anjuman Circle"
1002,CBT-D ⇆ Shivagiri,"Cbt-D, Jubilee Circle, Lic, Kcd, Nayadu Girini, Saptapura, Vivekananda Circle, Michigan Compound, Galagali Hospital, Bakery Stop, Manjunatha Colony, Shivagiri, Masjid, Jaya Nagar D, Patil Nursery, Naidu Girini, K C D"
1005,DWR SD ⇆ New Bus Stand-D,"Dwr Sd, Jubilee Circle, Old Sp Office, K C Park, Mental Hospital, New Sp Office, New Bus Stand-D"
1006,CBT-D ⇆ Banashri Nagar,"Cbt-D, Jubilee Circle, Old Sp Office, K C Park, Mental Hospital, New Sp Office, New Bus Stand-D, Kvg Bank, Gtc, Gtc Cross Sd, Bgs School, Bendre Nagar, Banashri Nagar, Corporation-D"
1008,Yattin Gudda ⇆ CBT-D,"Cbt-D, Jubilee Circle, Old Sp Office, K C Park, Mental Hospital, New Sp Office, New Bus Stand-D, Kvg Bank, J D Office, Gtc, Pepsi Factory, Dairy, Yattin Gudda Cross, Agri University Gate, Admission Office, Agri College, Yattin Gudda"
1009,Railway Station-D ⇆ Madihal,"Madihal, Siddharama Colony, Joshi Hall, Chidambar Seva Samiti, Murusavira Matta D, Depot Circle, Haveripete, Shivaji Circle, Cbt-D, Jubilee Circle, Court Circle, Head Post Office, Yammikeri, K E Board, Railway Station-D, Rms, Brindhavan, Kalabhawan"
100B-1,Dharwad BRTS Terminal - DH ⇆ Railway Station - DH,"Dharwad Brts Terminal - Dh, Jubilee Circle - Dh, Court Circle - Dh, Nttf - Dh, Toll Naka - Dh, Gandhi Nagar - Dh, Sdm Medical College - Dh, Navanagar - Dh, Kims - Dh, Hosur Regional Terminal - Dh, Hosur Cross - Dh, Hubballi Central Bus Terminal - Dh, Hdmc - Dh, Dr B R Ambedkar Circle - Dh, Railway Station - Dh"
100B-2,Railway Station - HD ⇆ Dharwad BRTS Terminal - HD,"Railway Station - Hd, Dr B R Ambedkar Circle 1 - Hd, Hdmc - Hd, Hubballi Central Bus Terminal - Hd, Hosur Cross - Hd, Hosur Regional Terminal - Hd, Kims - Hd, Navanagar - Hd, Sdm Medical College - Hd, Gandhi Nagar - Hd, Toll Naka - Hd, Nttf - Hd, Court Circle - Hd, Jubilee Circle - Hd, Dharwad Brts Terminal - Hd"
101,Hosur Terminal ⇆ Bommasamudra,"Bommasamudra, Bommasamudra 1St Stop, Bommasamudra Cross, Belgali, Belgali Govt School, Monkey Factory, Noolvi Cross, Noolvi, Adhurgunchi, Budurshingi, Kundagol Cross, Gabbur Sh, Bidnal Cross Sh, Bankapur Chouk Sh, New English School Sh, Murusavira Matta Cross Sh, Obs Sh, Hosur Terminal"
