bus_no,route_name,stops_name_between_route
01,Rajeev Nagar ⇆ CBT,Cbt → Chandrakala Talkies → Railway Station-H → Corporation-H → Hubli Obs (Inside) → Glass House → Hosur → Bannigida → Quarters → R.W.H → New Bus Stand-H → 1St Gate → 2Nd Gate → Akshay Park → Ravi Nagar → Ravi Nagar 2Nd Stop → Ravi Nagar 3Rd Stop → Lakshmi Nagar → Lakshmi Nagar Cross → Akshay Colony → Rajeev Nagar Cross → Mruthyunjaya Extension → Rajeev Nagar
01R,Rajeev Nagar ⇆ Cbt,Rajeev Nagar → Mruthyunjaya Extension → Rajeev Nagar Cross → Akshay Colony → Lakshmi Nagar Cross → Lakshmi Nagar → Ravi Nagar 3Rd Stop → Ravi Nagar 2Nd Stop → Ravi Nagar → Akshay Park → 2Nd Gate → 1St Gate → New Bus Stand-H → R.W.H → Quarters → Bannigida → Hosur → Glass House → Hubli Obs (Inside) → Corporation-H → Railway Station-H → Chandrakala Talkies → Cbt
100,Betdur ⇆ Hosur Terminal,Betdur → Betdur 1St Stop → Betdur Govt School → Water Tank B → Cbm Oil Mill → Basaveshwar Nagar → Sharevada → Sharevada Cross → Noolvi Cross → Noolvi Arogya Kendra → Adhurgunchi College → Adhurgunchi Plot → Adhurgunchi → Adhurgunchi Doddappana Gudi → Kotgunsi → Kundagol Cross → Gabbur Sh → Bidnal Cross Sh → Bankapur Chowk → New English School Sh → Murusavira Matta Cross Sh → Obs Sh → Hosur Terminal
100R,Hosur Terminal ⇆ Betdur,Hosur Terminal → Obs Sh → Murusavira Matta Cross Sh → New English School Sh → Bankapur Chowk → Bidnal Cross Sh → Gabbur Sh → Kundagol Cross → Kotgunsi → Adhurgunchi Doddappana Gudi → Adhurgunchi → Adhurgunchi Plot → Adhurgunchi College → Noolvi Arogya Kendra → Noolvi Cross → Sharevada Cross → Sharevada → Basaveshwar Nagar → Cbm Oil Mill → Water Tank B → Betdur Govt School → Betdur 1St Stop → Betdur
100,Betdur ⇆ Hosur Terminal,Hosur Terminal → Obs Sh → Murusavira Matta Cross Sh → New English School Sh → Bankapur Chouk Sh → Bidnal Cross Sh → Gabbur Sh → Kundagol Cross → Kotgunsi → Adhurgunchi Doddappana Gudi → Adhurgunchi → Adhurgunchi Plot → Adhurgunchi College → Noolvi Arogya Kendra → Noolvi Cross → Sharevada Cross → Sharevada → Basaveshwar Nagar → Cbm Oil Mill → Water Tank B → Betdur Govt School → Betdur 1St Stop → Betdur
100R,Betdur ⇆ Hosur Terminal,Betdur → Betdur 1St Stop → Betdur Govt School → Water Tank B → Cbm Oil Mill → Basaveshwar Nagar → Sharevada → Sharevada Cross → Noolvi Cross → Noolvi Arogya Kendra → Adhurgunchi College → Adhurgunchi Plot → Adhurgunchi → Adhurgunchi Doddappana Gudi → Kotgunsi → Kundagol Cross → Gabbur Sh → Bidnal Cross Sh → Bankapur Chouk Sh → New English School Sh → Murusavira Matta Cross Sh → Obs Sh → Hosur Terminal
1001,New Boys Hostel ⇆ CBT-D,Cbt-D → Jubilee Circle → Lic → Kcd → Nayadu Girini → Saptapura → Jaya Nagar Cross → Sarwamangala Hospital → Parisara Bhavan → Srinagar → Womens Hostel → Girls Hostel → Sports Ground → Pavate Nagar → New Boys Hostel
1001R,New Boys Hostel ⇆ Cbt-D,New Boys Hostel → Pavate Nagar → Sports Ground → Girls Hostel → Womens Hostel → Srinagar → Parisara Bhavan → Sarwamangala Hospital → Jaya Nagar Cross → Saptapura → Nayadu Girini → Kcd → Lic → Jubilee Circle → Cbt-D
1001,New Boys Hostel ⇆ CBT-D,New Boys Hostel → Pavate Nagar → Sports Ground → Working Womens Hostel → Womens Hostel → Srinagar → Parisara Bhavan → Sarwamangala Hospital → Jaya Nagar Cross → Saptapura → K C D → Lic → Jubilee Circle → Anjuman Circle → Cbt-D
1001R,Cbt-D ⇆ New Boys Hostel,Cbt-D → Anjuman Circle → Jubilee Circle → Lic → K C D → Saptapura → Jaya Nagar Cross → Sarwamangala Hospital → Parisara Bhavan → Srinagar → Womens Hostel → Working Womens Hostel → Sports Ground → Pavate Nagar → New Boys Hostel
