bus_no,route_name,stops_name_between_route
01,Rajeev Nagar ⇆ CBT,Cbt → Chandrakala Talkies → Railway Station-H → Corporation-H → Hubli Obs (Inside) → Glass House → Hosur → Bannigida → Quarters → R.W.H → New Bus Stand-H → 1St Gate → 2Nd Gate → Akshay Park → Ravi Nagar → Ravi Nagar 2Nd Stop → Ravi Nagar 3Rd Stop → Lakshmi Nagar → Lakshmi Nagar Cross → Akshay Colony → Rajeev Nagar Cross → Mruthyunjaya Extension → Rajeev Nagar
100,Betdur ⇆ Hosur Terminal,Betdur → Betdur 1St Stop → Betdur Govt School → Water Tank B → Cbm Oil Mill → Basaveshwar Nagar → Sharevada → Sharevada Cross → Noolvi Cross → Noolvi Arogya Kendra → Adhurgunchi College → Adhurgunchi Plot → Adhurgunchi → Adhurgunchi Doddappana Gudi → Kotgunsi → Kundagol Cross → Gabbur Sh → Bidnal Cross Sh → Bankapur Chowk → New English School Sh → Murusavira Matta Cross Sh → Obs Sh → Hosur Terminal
100,Betdur ⇆ Hosur Terminal,Hosur Terminal → Obs Sh → Murusavira Matta Cross Sh → New English School Sh → Bankapur Chouk Sh → Bidnal Cross Sh → Gabbur Sh → Kundagol Cross → Kotgunsi → Adhurgunchi Doddappana Gudi → Adhurgunchi → Adhurgunchi Plot → Adhurgunchi College → Noolvi Arogya Kendra → Noolvi Cross → Sharevada Cross → Sharevada → Basaveshwar Nagar → Cbm Oil Mill → Water Tank B → Betdur Govt School → Betdur 1St Stop → Betdur
1001,New Boys Hostel ⇆ CBT-D,Cbt-D → Jubilee Circle → Lic → Kcd → Nayadu Girini → Saptapura → Jaya Nagar Cross → Sarwamangala Hospital → Parisara Bhavan → Srinagar → Womens Hostel → Girls Hostel → Sports Ground → Pavate Nagar → New Boys Hostel
1001,New Boys Hostel ⇆ CBT-D,New Boys Hostel → Pavate Nagar → Sports Ground → Working Womens Hostel → Womens Hostel → Srinagar → Parisara Bhavan → Sarwamangala Hospital → Jaya Nagar Cross → Saptapura → K C D → Lic → Jubilee Circle → Anjuman Circle → Cbt-D
1002,CBT-D ⇆ Shivagiri,Cbt-D → Jubilee Circle → Lic → Kcd → Nayadu Girini → Saptapura → Vivekananda Circle → Michigan Compound → Galagali Hospital → Bakery Stop → Manjunatha Colony → Shivagiri
1002,CBT-D ⇆ Shivagiri,Shivagiri → Manjunatha Colony → Bakery Stop → Galagali Hospital → Masjid → Jaya Nagar D → Patil Nursery → Vivekananda Circle → Saptapura → Naidu Girini → K C D → Lic → Jubilee Circle → Cbt-D
1005,DWR SD ⇆ New Bus Stand-D,Dwr Sd → Jubilee Circle → Old Sp Office → K C Park → Mental Hospital → New Sp Office → New Bus Stand-D
1005,DWR SD ⇆ New Bus Stand-D,New Bus Stand-D → New Sp Office → Mental Hospital → K C Park → Old Sp Office → Jubilee Circle → Dwr Sd
1006,CBT-D ⇆ Banashri Nagar,Cbt-D → Jubilee Circle → Old Sp Office → K C Park → Mental Hospital → New Sp Office → New Bus Stand-D → Kvg Bank → Gtc → Gtc Cross Sd → Bgs School → Bendre Nagar → Banashri Nagar
